,fighter,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1148,Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",4.39,44%,4.56,58%,0.44,20%,84%,0.0
1149,Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987",1.81,31%,3.03,59%,3.72,52%,66%,0.1
1150,Justin Scoggins,"5' 7""",125 lbs.,"66""",Southpaw,"May 02, 1992",3.56,51%,2.16,55%,3.42,63%,82%,0.5
1151,Krzysztof Jotko,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",2.98,45%,1.9,58%,1.27,35%,87%,0.1
1152,Richie Vaculik,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 19, 1983",3.69,46%,4.09,57%,3.0,45%,31%,1.0
1153,Bruno Santos,"5' 9""",185 lbs.,,Orthodox,"Jul 17, 1987",1.18,46%,2.27,56%,3.0,37%,66%,0.3
1154,Ben Wall,"5' 10""",155 lbs.,,Orthodox,"Mar 25, 1989",1.47,29%,8.53,29%,0.0,0%,100%,0.0
1155,Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986",3.81,32%,5.72,59%,4.21,58%,75%,0.0
1156,Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",1.94,43%,2.24,62%,3.71,30%,56%,0.3
1157,Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",2.72,38%,2.07,66%,0.49,33%,57%,0.5
1158,Luiz Dutra,"5' 11""",170 lbs.,,Orthodox,"May 06, 1982",3.92,50%,4.8,41%,0.0,0%,100%,0.0
1159,Russell Doane,"5' 7""",135 lbs.,"70""",Orthodox,"Aug 13, 1986",1.75,40%,1.68,53%,2.11,45%,52%,0.8
1160,Jon Delos Reyes,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.2,83%,55%,1.9
1161,Shunichi Shimizu,"5' 5""",135 lbs.,,Orthodox,"Jan 31, 1985",0.14,33%,4.68,30%,0.0,0%,0%,0.0
1162,Will Chope,"6' 4""",145 lbs.,,Switch,"Sep 08, 1990",4.43,27%,9.93,46%,0.0,0%,0%,0.0
1163,Leandro Issa,"5' 7""",135 lbs.,"69""",Orthodox,"Sep 19, 1983",2.08,37%,3.17,58%,2.38,22%,50%,1.2
1164,Tatsuya Kawajiri,"5' 7""",145 lbs.,"69""",Orthodox,"May 08, 1978",2.04,44%,2.01,50%,3.63,48%,63%,1.1
1165,Tarec Saffiedine,"5' 10""",170 lbs.,"70""",Switch,"Sep 06, 1986",4.05,47%,3.06,62%,0.52,36%,84%,0.1
1166,Royston Wee,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 15, 1986",1.1,60%,2.45,49%,3.38,81%,0%,0.0
1167,Katsunori Kikuno,"5' 8""",145 lbs.,"66""",Orthodox,"Oct 31, 1981",2.64,40%,2.47,61%,1.88,75%,76%,0.8
1168,Kiichi Kunimoto,"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981",1.87,44%,3.92,41%,1.59,20%,28%,0.3
1169,Mairbek Taisumov,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 08, 1988",2.98,39%,3.03,64%,1.34,63%,88%,0.0
1170,Sean Soriano,"5' 9""",145 lbs.,,Orthodox,"Oct 06, 1989",3.15,61%,2.31,52%,1.27,42%,55%,0.0
1171,Dave Galera,"5' 11""",135 lbs.,,Orthodox,"Jan 12, 1978",1.67,69%,0.53,33%,0.0,0%,14%,2.0
1172,Louis Smolka,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991",4.44,46%,3.74,53%,1.84,37%,31%,1.9
1173,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",4.0,49%,2.72,59%,2.03,32%,81%,1.0
1174,Mike Rhodes,"6' 1""",170 lbs.,"74""",Orthodox,"Dec 04, 1989",3.2,39%,4.13,64%,0.96,33%,75%,0.5
1175,George Sullivan,"6' 0""",170 lbs.,"73""",Orthodox,"Mar 13, 1981",3.53,39%,2.42,57%,1.37,20%,38%,0.7
1176,Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.68,37%,2.59,58%,0.71,27%,68%,1.0
1177,Kevin Lee,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.9,42%,3.23,51%,3.21,43%,75%,0.8
1178,Gasan Umalatov,"5' 11""",170 lbs.,"71""",Orthodox,"Sep 11, 1982",2.23,39%,4.1,59%,0.75,17%,90%,0.0
1179,Rashid Magomedov,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984",4.4,49%,3.05,54%,0.67,57%,89%,0.2
1180,Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,23%,5.32,57%,0.0,0%,58%,0.0
1181,Danny Martinez,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",2.73,28%,3.77,63%,3.0,45%,36%,0.0
1182,Zubaira Tukhugov,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 15, 1991",2.54,38%,2.53,63%,2.54,46%,100%,0.0
1183,Douglas Silva de Andrade,"5' 7""",145 lbs.,"68""",Orthodox,"Jun 22, 1985",3.77,38%,4.26,58%,0.7,50%,66%,0.0
1184,Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991",3.76,42%,3.34,58%,0.2,20%,75%,0.0
1185,Takenori Sato,"5' 10""",170 lbs.,,Southpaw,"Jun 08, 1985",0.46,33%,12.92,9%,0.0,0%,0%,0.0
1186,Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989",4.84,49%,2.2,63%,1.77,24%,41%,0.9
1187,Pedro Munhoz,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.6,43%,5.87,58%,0.68,21%,80%,0.8
1188,Ernest Chavez,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983",2.79,40%,3.89,59%,0.89,33%,50%,0.0
1189,Patrick Cummins,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",4.26,50%,3.35,55%,4.49,41%,28%,0.1
1190,Yosdenis Cedeno,"5' 8""",155 lbs.,"69""",Orthodox,"Feb 12, 1985",1.64,29%,1.6,67%,0.0,0%,31%,0.3
1191,Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",2.47,31%,2.54,63%,1.85,38%,58%,0.4
1192,Anying Wang,"6' 0""",170 lbs.,,Orthodox,"Apr 04, 1991",1.32,26%,1.63,44%,0.0,0%,33%,0.0
1193,Zhang Lipeng,"5' 11""",155 lbs.,"71""",Southpaw,"Mar 10, 1990",1.28,48%,1.88,53%,1.75,30%,69%,0.8
1194,Yui Chul Nam,"5' 9""",145 lbs.,,Orthodox,"Jul 16, 1981",3.53,51%,2.0,48%,1.33,16%,57%,0.3
1195,Albert Cheng,"5' 11""",170 lbs.,,Orthodox,"Feb 07, 1985",1.0,41%,2.6,71%,0.0,0%,0%,0.0
1196,Mark Eddiva,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",3.37,45%,2.98,54%,1.45,22%,63%,0.0
1197,Jumabieke Tuerxun,"5' 7""",135 lbs.,,Orthodox,"Apr 17, 1986",1.6,28%,3.08,59%,0.47,11%,66%,0.9
1198,Sai Wang,"6' 0""",170 lbs.,,Southpaw,"Jan 14, 1986",3.17,46%,2.27,53%,0.0,0%,77%,0.0
1199,Danny Mitchell,"6' 2""",170 lbs.,,Orthodox,"Aug 08, 1986",2.53,49%,2.53,52%,0.0,0%,100%,3.0
1200,Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",3.14,42%,3.12,43%,3.01,28%,66%,1.6
1201,Neil Seery,"5' 4""",125 lbs.,"64""",Orthodox,"Aug 30, 1979",3.56,41%,3.79,58%,0.78,27%,53%,1.6
1202,Mats Nilsson,"6' 1""",170 lbs.,,Orthodox,"Dec 05, 1983",2.99,39%,5.62,63%,3.87,83%,44%,2.3
1203,Sean Strickland,"6' 1""",185 lbs.,"76""",Orthodox,"Feb 27, 1991",5.09,38%,3.77,66%,1.26,60%,81%,0.4
1204,Francisco Trevino,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 17, 1981",2.65,42%,2.42,64%,0.97,22%,41%,0.0
1205,Hans Stringer,"6' 3""",205 lbs.,,Orthodox,"Jul 06, 1987",3.16,61%,2.84,41%,2.4,36%,62%,0.0
1206,Noad Lahat,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",2.79,46%,1.47,63%,2.37,26%,16%,2.4
1207,Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.9,40%,4.38,56%,2.26,41%,80%,0.3
1208,Alan Omer,"5' 10""",145 lbs.,,Orthodox,"Sep 14, 1988",3.49,55%,2.21,64%,1.69,42%,66%,0.0
1209,Nordine Taleb,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981",3.66,51%,2.62,66%,1.94,76%,73%,0.0
1210,Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5
1211,Sean O'Connell,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 02, 1983",5.46,48%,6.77,45%,0.0,0%,30%,0.5
1212,Richard Walsh,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 01, 1988",3.84,46%,2.72,58%,1.55,40%,66%,0.2
1213,Sheldon Westcott,"6' 1""",170 lbs.,"71""",Southpaw,"Aug 20, 1984",2.26,40%,3.73,37%,3.23,37%,14%,0.0
1214,Chris Indich,"5' 10""",170 lbs.,,,"Apr 22, 1987",1.31,30%,4.32,43%,0.75,50%,50%,1.5
1215,Vik Grujic,"5' 11""",170 lbs.,"73""",Orthodox,"Feb 06, 1977",2.24,48%,3.39,41%,1.18,33%,26%,0.4
1216,Tim Gorman,"5' 5""",135 lbs.,,Southpaw,"Apr 29, 1983",2.73,31%,5.57,46%,1.0,9%,33%,0.0
1217,Mike de la Torre,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",3.21,39%,4.75,51%,0.36,16%,83%,0.0
1218,Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",4.78,42%,3.59,65%,1.05,54%,78%,0.0
1219,Elias Theodorou,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",4.19,42%,2.39,53%,1.27,28%,59%,0.0
1220,Leslie Smith,"5' 9""",135 lbs.,"66""",Orthodox,"Aug 17, 1982",7.56,40%,8.41,51%,0.0,0%,62%,0.0
1221,Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",2.43,41%,1.8,57%,3.98,52%,92%,0.4
1222,Derrick Lewis,"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",2.59,50%,2.16,44%,0.52,26%,54%,0.0
1223,Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",3.76,42%,3.07,60%,0.92,28%,71%,0.5
1224,Luke Zachrich,"6' 2""",185 lbs.,"74""",Orthodox,"Dec 19, 1981",4.56,32%,4.46,62%,0.74,33%,80%,0.0
1225,Hernani Perpetuo,"6' 0""",170 lbs.,,Orthodox,"May 24, 1985",2.73,29%,4.37,55%,0.0,0%,37%,0.5
1226,Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",2.02,40%,3.35,48%,1.71,34%,33%,2.4
1227,Ray Borg,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",1.52,52%,1.93,48%,3.89,50%,46%,1.0
1228,Jack May,"6' 8""",255 lbs.,,Switch,"Apr 14, 1981",1.52,38%,3.29,33%,0.91,33%,20%,0.0
1229,Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",3.45,35%,3.18,61%,1.6,58%,78%,0.2
1230,Patrick Williams,"5' 8""",135 lbs.,"73""",Orthodox,"Sep 07, 1981",4.12,51%,4.12,52%,2.71,41%,100%,0.5
1231,Ruan Potts,"6' 2""",247 lbs.,"75""",Orthodox,"Feb 23, 1978",0.85,37%,5.92,22%,0.75,16%,33%,2.3
1232,Li Jingliang,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",4.52,42%,3.65,59%,1.28,39%,59%,0.0
1233,Aaron Phillips,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 05, 1989",1.65,56%,3.44,39%,0.0,0%,44%,0.4
1234,David Michaud,"5' 9""",155 lbs.,,Orthodox,"Nov 10, 1988",3.25,43%,4.45,54%,2.53,58%,77%,0.7
1235,Marcos Rogerio de Lima,"6' 1""",253 lbs.,"75""",Orthodox,"Jun 25, 1985",3.78,54%,2.53,54%,0.71,60%,43%,0.7
1236,Ricardo Abreu,"5' 11""",185 lbs.,,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
1237,Nick Hein,"5' 6""",155 lbs.,"66""",Southpaw,"Apr 24, 1984",2.65,35%,3.61,59%,0.86,33%,83%,0.0
1238,Viktor Pesta,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 15, 1990",1.58,36%,2.54,56%,3.29,28%,100%,0.0
1239,Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,"Mar 10, 1979",2.98,45%,2.95,58%,0.95,55%,50%,0.2
1240,Pawel Pawlak,"6' 0""",170 lbs.,"73""",Orthodox,"Feb 08, 1989",1.67,33%,2.22,53%,1.0,37%,70%,0.0
1241,Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,"Aug 22, 1989",1.12,41%,3.65,40%,2.92,80%,72%,2.2
1242,Wagner Silva,"6' 0""",170 lbs.,,Orthodox,"Feb 07, 1987",1.69,29%,2.87,65%,0.0,0%,58%,0.0
1243,Matt Hobar,"5' 10""",135 lbs.,"70""",Southpaw,"Jan 07, 1987",3.23,42%,4.27,52%,3.66,44%,50%,0.0
1244,Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",1.95,42%,2.14,52%,3.42,39%,53%,0.8
1245,Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",1.74,47%,2.41,58%,1.66,35%,72%,0.1
1246,Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",3.09,47%,3.62,50%,1.48,54%,75%,1.0
1247,Ruslan Magomedov,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",4.02,47%,1.47,66%,0.33,100%,88%,0.0
1248,Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
1249,Richardson Moreira,"6' 2""",185 lbs.,,Orthodox,"Mar 31, 1984",1.17,28%,1.83,67%,0.0,0%,100%,0.0
1250,Jake Lindsey,"5' 11""",155 lbs.,,Switch,"Jun 21, 1986",3.44,52%,4.01,46%,0.65,33%,50%,0.0
1251,Roger Narvaez,"6' 3""",185 lbs.,,Southpaw,"Sep 09, 1983",2.12,37%,3.32,64%,0.0,0%,50%,0.9
1252,Kajan Johnson,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",2.47,42%,1.59,64%,1.54,37%,62%,0.2
1253,Elizabeth Phillips,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 20, 1986",2.6,33%,3.07,58%,0.75,25%,53%,0.2
1254,Michinori Tanaka,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990",1.97,37%,1.99,50%,2.4,38%,43%,0.2
1255,Josh Shockley,"6' 1""",155 lbs.,,Orthodox,"Nov 15, 1989",1.4,33%,1.75,60%,0.0,0%,61%,0.8
1256,Jason Saggo,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 23, 1985",2.5,39%,2.94,52%,2.33,40%,23%,0.0
1257,Valerie Letourneau,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983",4.51,37%,5.4,58%,0.77,45%,66%,0.3
1258,Joe Ellenberger,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,47%,3.45,48%,3.17,40%,0%,1.1
1259,Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",3.47,50%,3.85,44%,2.38,46%,33%,2.4
1260,Dan Hooker,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",4.95,48%,4.92,51%,0.72,34%,79%,0.3
1261,Jake Matthews,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.03,44%,2.16,61%,1.93,41%,66%,0.6
1262,Diego Ferreira,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",4.85,37%,3.26,58%,0.89,26%,68%,0.9
1263,James Moontasri,"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",2.39,48%,3.86,40%,0.0,0%,79%,0.2
1264,Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980",3.91,65%,3.02,45%,2.62,42%,78%,0.0
1265,Roldan Sangcha'an,"5' 4""",125 lbs.,,Orthodox,"Dec 04, 1990",2.71,46%,2.15,51%,1.94,60%,68%,0.0
1266,Rodrigo de Lima,"5' 7""",155 lbs.,,Orthodox,"Mar 12, 1991",1.29,33%,5.5,32%,2.66,36%,0%,1.3
1267,Shane Howell,"5' 8""",125 lbs.,,Orthodox,"Nov 28, 1983",1.27,32%,2.55,42%,0.0,0%,20%,0.0
1268,Ian Entwistle,"5' 5""",135 lbs.,,Orthodox,"Nov 19, 1986",0.11,7%,7.36,31%,0.0,0%,0%,12.1
1269,Dashon Johnson,"5' 7""",145 lbs.,,Orthodox,"Jan 25, 1988",1.01,69%,3.83,35%,0.85,33%,63%,0.8
1270,Guilherme Vasconcelos,"6' 0""",185 lbs.,,Orthodox,"Mar 23, 1986",3.27,29%,4.4,70%,0.0,0%,0%,0.0
1271,Bubba Bush,"6' 0""",185 lbs.,,Orthodox,"Jul 24, 1985",0.63,55%,7.01,25%,2.82,50%,60%,0.0
1272,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.21,42%,3.83,62%,1.2,36%,48%,0.8
1273,Sarah Moras,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,0.67,21%,33%,0.8
1274,Robert Drysdale,"6' 3""",205 lbs.,,Orthodox,"Oct 05, 1981",0.0,0%,0.0,0%,7.32,100%,0%,21.9
1275,Patrick Walsh,"5' 11""",185 lbs.,,,"Nov 28, 1988",2.03,19%,2.83,64%,3.0,54%,100%,1.5
1276,Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0
1277,Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,"Aug 31, 1990",1.33,27%,3.33,60%,1.5,50%,50%,0.0
1278,Keith Berish,"6' 0""",205 lbs.,,Orthodox,"Nov 14, 1985",3.58,36%,4.81,62%,1.76,40%,0%,0.0
1279,Daniel Spohn,"6' 4""",205 lbs.,"79""",Southpaw,"Oct 12, 1984",2.42,49%,1.6,53%,0.0,0%,28%,2.5
1280,Matt Van Buren,"6' 5""",205 lbs.,,,"Jun 12, 1986",7.73,45%,6.82,49%,0.0,0%,50%,0.0
1281,Guto Inocente,"6' 3""",205 lbs.,,Orthodox,"May 29, 1986",4.13,66%,2.92,54%,0.67,33%,66%,0.7
1282,Juan Manuel Puig,"5' 9""",145 lbs.,,Orthodox,"Apr 23, 1989",4.91,23%,7.17,51%,0.0,0%,0%,0.0
1283,Eddie Gordon,"6' 0""",185 lbs.,"76""",Orthodox,"Jul 22, 1983",2.03,32%,2.57,60%,1.93,83%,63%,0.0
1284,Dhiego Lima,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",3.14,38%,3.93,59%,1.38,42%,73%,0.7
1285,Jerrod Sanders,"5' 8""",135 lbs.,"72""",Orthodox,"Oct 01, 1979",0.88,64%,1.14,46%,2.2,33%,50%,1.6
1286,Tina Lahdemaki,"5' 2""",115 lbs.,,Orthodox,"May 28, 1988",1.93,20%,4.67,57%,0.0,0%,16%,0.0
1287,Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7
1288,Cathal Pendred,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4
1289,Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987",2.25,32%,2.82,65%,2.64,23%,16%,0.0
1290,Mike King,"6' 3""",185 lbs.,,,"Aug 04, 1983",4.44,58%,1.29,72%,1.75,25%,40%,3.5
1291,Paddy Holohan,"5' 10""",125 lbs.,"69""",Orthodox,"May 03, 1988",2.13,46%,2.81,46%,2.88,47%,71%,1.3
1292,Brian Ortega,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991",4.29,38%,6.28,52%,0.8,21%,56%,1.1
1293,Joanna Jedrzejczyk,"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",6.3,48%,3.08,64%,0.28,62%,81%,0.1
1294,Gilbert Burns,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",3.22,45%,3.04,54%,2.08,35%,50%,0.7
1295,Tiago dos Santos e Silva,"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987",3.69,35%,4.23,59%,0.63,11%,33%,0.3
1296,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
1297,Andreas Stahl,"5' 11""",170 lbs.,,Orthodox,"May 20, 1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0
1298,Juliana Lima,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 15, 1982",1.94,44%,2.11,55%,1.72,31%,70%,0.0
1299,Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981",5.67,50%,3.77,60%,0.51,44%,58%,0.3
1300,Lauren Murphy,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1983",3.8,38%,3.82,63%,1.18,37%,70%,0.1
1301,Nolan Ticman,"5' 6""",125 lbs.,,Orthodox,"May 17, 1988",2.57,47%,2.53,67%,0.0,0%,60%,0.0
1302,Frankie Saenz,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980",3.94,47%,3.5,52%,1.74,31%,61%,0.1
1303,Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.17,44%,3.26,55%,0.08,16%,82%,0.1
1304,Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,"Aug 04, 1989",0.87,31%,3.43,58%,2.34,45%,0%,0.0
1305,Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993",4.22,32%,5.0,50%,2.81,39%,71%,0.5
1306,Valmir Lazaro,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985",4.87,37%,4.09,61%,1.33,40%,96%,0.0
1307,Chris Heatherly,"5' 9""",155 lbs.,,Orthodox,"Nov 24, 1987",1.08,45%,2.67,52%,3.39,50%,100%,0.7
1308,Yuta Sasaki,"5' 10""",125 lbs.,"71""",Southpaw,"Oct 07, 1989",2.16,41%,2.5,50%,3.03,43%,41%,1.2
1309,Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",4.12,38%,2.86,55%,4.61,50%,75%,0.1
1310,Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987",1.9,47%,2.77,39%,2.22,43%,36%,0.6
1311,Jianping Yang,"5' 7""",145 lbs.,,Orthodox,"Nov 27, 1988",1.4,26%,2.07,65%,1.0,25%,33%,0.0
1312,Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0
1313,Joby Sanchez,"5' 6""",135 lbs.,"68""",Orthodox,"Jun 24, 1991",3.22,36%,2.82,63%,0.95,71%,51%,0.4
1314,Yao Zhikui,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991",1.44,21%,2.82,48%,0.66,16%,58%,0.0
1315,Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,38%,3.7,47%,1.85,20%,50%,0.0
1316,Guangyou Ning,"5' 4""",145 lbs.,"64""",Southpaw,"Dec 15, 1981",2.66,41%,1.91,61%,1.09,50%,62%,0.3
1317,Cain Carrizosa,"5' 8""",155 lbs.,,Orthodox,"Jul 22, 1986",2.72,42%,5.8,51%,0.0,0%,14%,0.0
1318,Shayna Baszler,"5' 7""",135 lbs.,,Orthodox,"Aug 08, 1980",2.49,30%,6.36,51%,0.67,18%,44%,1.3
1319,Joe Soto,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 22, 1987",3.36,41%,5.37,67%,0.85,21%,70%,1.9
1320,Damon Jackson,"5' 11""",145 lbs.,"71""",Switch,"Aug 08, 1988",2.46,35%,3.63,45%,1.14,20%,35%,2.7
1321,Chris Wade,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987",1.7,53%,1.75,51%,2.6,51%,55%,1.1
1322,Tateki Matsuda,"5' 7""",125 lbs.,,Orthodox,"Feb 27, 1986",3.2,34%,3.43,69%,0.0,0%,16%,0.0
1323,Larissa Pacheco,"5' 7""",135 lbs.,,Orthodox,"Sep 07, 1994",1.21,19%,4.14,55%,0.0,0%,0%,0.0
1324,Wendell Oliveira Marques,"5' 10""",170 lbs.,,Orthodox,"Jun 01, 1983",3.77,47%,4.4,47%,0.0,0%,100%,0.0
1325,Masanori Kanehara,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982",1.88,49%,1.63,62%,1.44,50%,63%,0.9
1326,Johnny Case,"5' 10""",155 lbs.,"72""",Orthodox,"Jun 28, 1989",3.95,38%,2.66,61%,1.7,45%,72%,0.2
1327,Rin Nakai,"5' 1""",135 lbs.,,Orthodox,"Oct 22, 1986",1.57,33%,3.9,60%,3.0,18%,75%,0.5
1328,Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
1329,Matt Dwyer,"6' 4""",170 lbs.,"76""",Orthodox,"Dec 17, 1989",2.57,34%,3.24,54%,0.44,10%,60%,0.0
1330,Paul Felder,"5' 11""",155 lbs.,"70""",Orthodox,"Apr 25, 1984",3.7,44%,3.44,48%,0.29,28%,64%,0.2
1331,Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,"Oct 10, 1989",0.79,50%,5.26,23%,0.0,0%,0%,0.0
1332,Roman Salazar,"5' 7""",135 lbs.,,Orthodox,"Feb 21, 1988",1.95,39%,2.89,57%,1.77,18%,50%,0.0
1333,Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7
1334,Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986",3.11,37%,3.78,48%,1.76,32%,40%,1.0
1335,Jan Blachowicz,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.59,49%,2.79,53%,1.18,53%,65%,0.2
